article,noun,plural,english
die,Kapelle,Kapellen,Chapel
der,Speer,Speere,Spear
die,Funktion,Funktionen,Function
der,Gelehrte,Gelehrten,Scholar
der,Spatz,Spatzen,Sparrow
das,Mitleid,kein Pl.,Pity
die,Luft,kein Pl.,Air
die,Autobahn,Autobahnen,Freeway/Highway
die,Bandbreite,Bandbreiten,Range
der,Schritt,Schritte,Step
das,Kanu,Kanus,Canoe
der,Franzose,Franzosen,French
das,Enkelkind,Enkelkinder,Grandchild
die,E-Mail,E-Mails,EMail
der,Dichter,Dichter,Poet
der,Durchschnitt,Durchschnitte,Average/Mean
die,Kommission,Kommissionen,Commission
die,Zustimmung,Zustimmungen,Approval
das,Wörterbuch,Wörterbücher,Dictionary
die,Öffnung,Öffnungen,Opening
die,Jugend,kein Pl.,Youth
die,Naht,Nähte,Seam
die,Krume,Krumen,Crumb
die,Patrouille,Patrouillen,Patrol
die,Untertasse,Untertassen,Saucer
das,Beispiel,Beispiele,Example
die,Forschung,kein Pl.,Research
die,Lounge,Lounges,Lounge
der,Kobold,Kobolde,Goblin
die,Matratze,Matratzen,Mattress
die,Traube,Trauben,Grape
der,Aspekt,Aspekte,Aspect
der,Computer,Computer,Computer
der,Clan,Clans,Clan
die,Schmerzen,Schmerzen,Pang
der,Lebensmittel,Lebensmittel,Grocery
der,Becher,Becher,Mug
die,Gelegenheit,Gelegenheiten,Opportunity
die,Beerdigung,Beerdigungen,Burial/Funeral
die,Antwort,Antworten,Answer/Reply
der,Bleistift,Bleistifte,Pencil
die,Katze,Katzen,Cat
die,Anerkennung,kein Pl.,Recognition
das,Tanzen,kein Pl.,Dancing
das,Parfüm,Parfüms,Perfume
das,Versteck,Verstecke,Hide
der,Rubin,Rubine,Ruby
der,Ziegel,Ziegel,Brick
der,Eingang,Eingänge,Entrance
die,Tatsache,Tatsachen,Fact
der,Bluterguss,Blutergüsse,Bruise
das,Poster,Poster,Poster
das,Papier,Papiere,Paper
der,Favorit,Favoriten,Favorite
das,Kreuz,Kreuze,Cross
das,Prinzip,Prinzipien,Principle
der,Handel,Handel,Trade
die,Lüge,Lügen,Lie
der,Kragen,Kragen,Collar
die,Daune,Daunen,Down
das,Tor,Tore,Gate/Goal
der,Vater,Väter,Father/Dad
die,Kneipe,Kneipen,Pub
der,Rausch,Räusche,Rush
die,Pfütze,Pfützen,Puddle
die,Tugend,Tugenden,Virtue
das,Bett,Betten,Bed
der,Bauch,Bäuche,Belly
der,Ball,Bälle,Ball
die,Anwendung,Anwendungen,Application
das,Leinen,kein Pl.,Linen
die,Rechnung,Rechnungen,Bill
die,Ampel,Ampeln,Traffic Light
die,Tastatur,Tastaturen,Keyboard
das,Dokument,Dokumente,Document
der,Aufwand,Aufwände,Effort
das,Flanell,Flanell,Flannel
das,Meerschweinchen,Meerschweinchen,Guinea Pig
der,Stern,Sterne,Star/Stern
der,Rahmen,Rahmen,Frame
